WA00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,Area,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
53,9,981000,53009981000,2477,1269,P,3730332,1778916,53,9,990100,53009990100,0,0,P,2347457365,0,1951416,0,52.31,0,0.08,0,0,0,0,0,0,0
53,9,981100,53009981100,2969,1377,W,11074070,11068355,53,9,1100,53009001100,2969,1377,W,11074070,11068355,11074070,11068355,100,100,100,100,2969,100,100,1377,100,100
53,9,981200,53009981200,3771,1922,P,21820829,6621294,53,9,1200,53009001200,3771,1922,W,6621294,6621294,6621294,6621294,30.34,100,100,100,3771,100,100,1922,100,100
53,9,981200,53009981200,3771,1922,P,21820829,6621294,53,9,990100,53009990100,0,0,P,2347457365,0,15199535,0,69.66,0,0.65,0,0,0,0,0,0,0
53,9,981300,53009981300,3090,1498,P,55081565,9973583,53,9,1300,53009001300,3090,1498,W,9973583,9973583,9973583,9973583,18.11,100,100,100,3090,100,100,1498,100,100
53,9,981300,53009981300,3090,1498,P,55081565,9973583,53,9,990100,53009990100,0,0,P,2347457365,0,45107982,0,81.89,0,1.92,0,0,0,0,0,0,0
53,9,981400,53009981400,4510,2050,P,166989496,92581669,53,9,1400,53009001400,4510,2050,W,92660969,92581669,92660969,92581669,55.49,100,100,100,4510,100,100,2050,100,100
53,9,981400,53009981400,4510,2050,P,166989496,92581669,53,9,990100,53009990100,0,0,P,2347457365,0,74328527,0,44.51,0,3.17,0,0,0,0,0,0,0
53,9,981500,53009981500,2072,942,P,538673926,510603692,53,9,1500,53009001500,2072,942,W,512764307,510592040,512764307,510592040,95.19,100,100,100,2072,100,100,942,100,100
53,9,981500,53009981500,2072,942,P,538673926,510603692,53,9,990100,53009990100,0,0,P,2347457365,0,25897107,0,4.81,0,1.1,0,0,0,0,0,0,0
53,9,981500,53009981500,2072,942,P,538673926,510603692,53,31,950702,53031950702,2131,1666,P,4182217568,3994936813,12512,11652,0,0,0,0,0,0,0,0,0,0
53,9,981600,53009981600,3164,1584,P,265168796,22837984,53,9,1600,53009001600,3164,1583,W,21597078,21597078,21597078,21597078,8.14,94.57,100,100,3164,100,100,1583,99.94,100
53,9,981600,53009981600,3164,1584,P,265168796,22837984,53,9,1700,53009001700,4670,2434,P,32362718,32362718,1240906,1240906,0.47,5.43,3.83,3.83,0,0,0,1,0.06,0.04
53,9,981600,53009981600,3164,1584,P,265168796,22837984,53,9,990100,53009990100,0,0,P,2347457365,0,242330812,0,91.39,0,10.32,0,0,0,0,0,0,0
53,9,981700,53009981700,4670,2433,P,33991206,31121812,53,9,1700,53009001700,4670,2434,P,32362718,32362718,31121812,31121812,91.56,100,96.17,96.17,4670,100,100,2433,100,99.96
53,9,981700,53009981700,4670,2433,P,33991206,31121812,53,9,990100,53009990100,0,0,P,2347457365,0,2869394,0,8.44,0,0.12,0,0,0,0,0,0,0
53,9,981800,53009981800,2739,1273,W,220971274,220971274,53,9,1800,53009001800,2739,1273,W,220971274,220971274,220971274,220971274,100,100,100,100,2739,100,100,1273,100,100
53,9,981900,53009981900,5693,3058,P,153945348,37298663,53,9,1900,53009001900,5693,3058,W,37295770,37295770,37295770,37295770,24.23,99.99,100,100,5693,100,100,3058,100,100
53,9,981900,53009981900,5693,3058,P,153945348,37298663,53,9,2000,53009002000,5202,2910,P,20728904,20728904,1022,1022,0,0,0,0,0,0,0,0,0,0
53,9,981900,53009981900,5693,3058,P,153945348,37298663,53,9,2100,53009002100,3523,1902,P,3772487,3772487,1871,1871,0,0.01,0.05,0.05,0,0,0,0,0,0
53,9,981900,53009981900,5693,3058,P,153945348,37298663,53,9,990100,53009990100,0,0,P,2347457365,0,116646685,0,75.77,0,4.97,0,0,0,0,0,0,0
53,9,982000,53009982000,5202,2910,W,20727882,20727882,53,9,2000,53009002000,5202,2910,P,20728904,20728904,20727882,20727882,100,100,100,100,5202,100,100,2910,100,100
53,9,982100,53009982100,3523,1902,W,3770616,3770616,53,9,2100,53009002100,3523,1902,P,3772487,3772487,3770616,3770616,100,100,99.95,99.95,3523,100,100,1902,100,100
53,9,982300,53009982300,3983,2309,P,488799129,289817134,53,9,2300,53009002300,3983,2309,P,289886084,289815382,289847304,289776602,59.3,99.99,99.99,99.99,3983,100,100,2309,100,100
53,9,982300,53009982300,3983,2309,P,488799129,289817134,53,9,990100,53009990100,0,0,P,2347457365,0,198910137,0,40.69,0,8.47,0,0,0,0,0,0,0
53,9,982300,53009982300,3983,2309,P,488799129,289817134,53,31,950202,53031950202,1816,1239,P,332114839,251455410,33335,32814,0.01,0.01,0.01,0.01,0,0,0,0,0,0
53,9,982300,53009982300,3983,2309,P,488799129,289817134,53,31,950500,53031950500,6514,3725,P,416609662,160740339,8353,7718,0,0,0,0,0,0,0,0,0,0
53,11,40101,53011040101,5154,1720,W,350658478,334024924,53,11,40101,53011040101,5154,1720,W,350658478,334024924,350658478,334024924,100,100,100,100,5154,100,100,1720,100,100
53,11,40102,53011040102,3590,1157,W,53850735,53791197,53,11,40102,53011040102,3590,1157,W,53850735,53791197,53850735,53791197,100,100,100,100,3590,100,100,1157,100,100
53,11,40201,53011040201,5670,2165,W,61396790,59802527,53,11,40201,53011040201,5670,2165,W,61396790,59802527,61396790,59802527,100,100,100,100,5670,100,100,2165,100,100
