X	Y	GEO_ID_GRP	BLKGRP	GRPLABEL_TRIM	TRACT_LBL	TRTLABEL_COMP	TRTLABEL_TRIM	COUNTY	STATE	TRACT_ID	GROUP_AREA	GROUP_PERI
-122.3520497	47.67408077	530330035002	35002	35.0 2	Tract 003500	3500	35	33	53	53033003500	3620095.813	8957.365562
-122.352381	47.6686195	530330035003	35003	35.0 3	Tract 003500	3500	35	33	53	53033003500	6466421.684	10855.26702
-122.3203706	47.67427371	530330036001	36001	36.0 1	Tract 003600	3600	36	33	53	53033003600	4202672.092	12890.03441
-122.3238435	47.68126582	530330036002	36002	36.0 2	Tract 003600	3600	36	33	53	53033003600	2472251.872	8789.489913
-122.3284459	47.67409686	530330036003	36003	36.0 3	Tract 003600	3600	36	33	53	53033003600	3295799.099	7518.621952
-122.3261224	47.67734124	530330036004	36004	36.0 4	Tract 003600	3600	36	33	53	53033003600	2907615.185	8219.106285
-122.2932346	47.6793234	530330038001	38001	38.0 1	Tract 003800	3800	38	33	53	53033003800	3721946.935	8257.856529
-122.2983719	47.67951993	530330038002	38002	38.0 2	Tract 003800	3800	38	33	53	53033003800	3000844.46	7727.433506
-122.2855941	47.67967254	530330039001	39001	39.0 1	Tract 003900	3900	39	33	53	53033003900	6124767.796	10583.11371
-122.2777652	47.67904931	530330039002	39002	39.0 2	Tract 003900	3900	39	33	53	53033003900	4356567.184	9230.332519
-122.257869	47.68107348	530330040001	40001	40.0 1	Tract 004000	4000	40	33	53	53033004000	73686916.71	43806.70313
-122.2717369	47.679248	530330040002	40002	40.0 2	Tract 004000	4000	40	33	53	53033004000	3628395.803	9083.843617
-122.2609987	47.67242263	530330041001	41001	41.0 1	Tract 004100	4100	41	33	53	53033004100	3927302.823	11728.19145
-122.2662724	47.6669539	530330041002	41002	41.0 2	Tract 004100	4100	41	33	53	53033004100	54575596.5	38667.82656
-122.2757932	47.65903983	530330041003	41003	41.0 3	Tract 004100	4100	41	33	53	53033004100	5055074.095	11611.20355
-122.2787362	47.66439046	530330041004	41004	41.0 4	Tract 004100	4100	41	33	53	53033004100	5190086.501	9478.587861
-122.2841044	47.65850953	530330041005	41005	41.0 5	Tract 004100	4100	41	33	53	53033004100	3964037.038	10038.31568
-122.2780644	47.65359499	530330041006	41006	41.0 6	Tract 004100	4100	41	33	53	53033004100	11956196.51	16509.95348
-122.2732227	47.67271067	530330042001	42001	42.0 1	Tract 004200	4200	42	33	53	53033004200	7132538.787	13797.9712
-122.2822112	47.67083563	530330042002	42002	42.0 2	Tract 004200	4200	42	33	53	53033004200	5435246.809	13826.86493
-122.2903721	47.66470764	530330042003	42003	42.0 3	Tract 004200	4200	42	33	53	53033004200	5984285.612	13871.8789
-122.2877221	47.6710702	530330042004	42004	42.0 4	Tract 004200	4200	42	33	53	53033004200	4053417.335	9140.278687
-122.293276	47.67217579	530330042005	42005	42.0 5	Tract 004200	4200	42	33	53	53033004200	3976883.737	8344.685306
-122.298964	47.66369934	530330043011	43011	43.01 1	Tract 004301	4301	43.01	33	53	53033004301	3645652.293	11655.26934
-122.2984764	47.67210842	530330043012	43012	43.01 2	Tract 004301	4301	43.01	33	53	53033004301	2814437.209	7466.077699
-122.3036124	47.67196338	530330043013	43013	43.01 3	Tract 004301	4301	43.01	33	53	53033004301	4019404.506	8412.200991
-122.3051519	47.66492723	530330043021	43021	43.02 1	Tract 004302	4302	43.02	33	53	53033004302	1588653.937	6405.906388
-122.3023374	47.66459354	530330043022	43022	43.02 2	Tract 004302	4302	43.02	33	53	53033004302	1970927.265	7175.799703
-122.3092034	47.67216809	530330044001	44001	44.0 1	Tract 004400	4400	44	33	53	53033004400	3523849.989	7958.929293
