,Unnamed: 0,Id,Geography,City,Percentage: Public transportation (excluding taxicab),Percentage: Nonfamily household,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Percentage: Renter-occupied housing units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more, 3 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_home_price_distribution_2015,def_2
205,205,53033024800,"Census Tract 248, King County, Washington",Beaux Art Village,10,38,517.0,41.6,3925.0,68042,45,39.5,373300,188,766,428,0.45,2015,,6.699999999999999,-174300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
206,206,53033024901,"Census Tract 249.01, King County, Washington",Beaux Art Village,8,12,660.0,69.2,3652.0,135625,7,34.6,744000,0,49,508,0.48,2015,,-6.4999999999999964,-11800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
207,207,53033024902,"Census Tract 249.02, King County, Washington",Beaux Art Village,5,25,452.0,68.9,2732.0,102616,20,45.1,610100,7,91,318,0.59,2015,,-8.299999999999997,-62700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
208,208,53033024903,"Census Tract 249.03, King County, Washington",Bellevue,8,8,825.0,73.3,4316.0,152458,9,36.2,698700,30,20,779,0.53,2015,,-11.899999999999999,116800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
209,209,53033025001,"Census Tract 250.01, King County, Washington",Newcastle,7,26,533.0,56.1,3297.0,110114,17,32.1,485500,10,185,460,0.68,2015,,7.699999999999996,-98000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
210,210,53033025003,"Census Tract 250.03, King County, Washington",Beaux Art Village,6,20,759.0,63.9,4881.0,126089,30,21.5,786000,92,807,765,0.62,2015,,7.0,154100.0,HaveGentrified,false,NotCurrentlyGentrifying
211,211,53033025005,"Census Tract 250.05, King County, Washington",Newcastle,4,33,525.0,62.0,3005.0,103229,29,30.5,648200,22,784,420,0.53,2015,,17.699999999999996,194800.0,HaveGentrified,false,NotCurrentlyGentrifying
212,212,53033025006,"Census Tract 250.06, King County, Washington",Bellevue,4,22,714.0,71.8,3210.0,148750,28,35.3,610200,39,604,448,0.61,2015,,9.900000000000006,-153200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
213,213,53033025101,"Census Tract 251.01, King County, Washington",Renton,2,32,632.0,47.0,3674.0,81676,33,23.1,382400,147,471,546,0.58,2015,,-2.4000000000000057,-39300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
214,214,53033025102,"Census Tract 251.02, King County, Washington",Renton,5,23,957.0,46.7,4493.0,104469,28,25.9,379300,52,476,584,0.49,2015,,0.5999999999999943,-191300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
