,Id,Geography,neighborhood,city,year,total population,total households,median house value,percent public transportation,percent white not hispanic,median income,median family income,percent nonfamily household,median gross rent,median_contract_rent,percent renter-occupied housing units,monthly housing costs 30+ percent of renter householdhold income,rent 35-39.9 percent of household income,rent 40-49.9 percent of household income,rent 50 percent of household income,not computed rent as percent of household income,3-4 dwelling units,5+ dwelling units,3+ vehicles available,percent bachelors degree or higher,bachelor deg 25yr+,percent bachelor deg 25yr+,children under18 in family household,children under18 in married household,"household income 20,000-29,999","household income 30,000-39,999","household income 40,000-49,999","household income 50,000-59,999","household income 60,000-74,999","household income 75,000-99,999","household income 100,000-124,999","household income 125,000-149,999","household income 150,000-199,999","household income 200,000+",total count household income,total population 25yr+,total female 25-29yr,total female 30-39yr,total female 40-49yr,total female 50-59yr,total female 60-64yr,total female 65-69yr,total female 70yr+,total male 25-29yr,total male 30-39yr,total male 40-49yr,total male 50-59yr,total male 60-64yr,total male 65-69yr,total male 70yr+,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_rent_2015,increase_in_home_price_distribution_2015,def_2
64,53033003200,"Census Tract 32, King County, Washington",Interbay,Seattle,2015,8233,3971,568000,0.16997394300000002,0.84865784,79681,96250,0.550994712,1154,1085.0,0.488038278,21.2,202,50,223,9,210,1448,420,70.2,2869,0.45252365899999997,1250,1035,137,305,316,191,411,651,538,294,350,308,3971,6340,417,751,499,485,377,181,384,580,682,780,529,195,165,315,613440.0,-0.8000000000000114,93311.99999999988,NotEligibleForGentrification,115.0,false,NotCurrentlyGentrifying
65,53033003200,"Census Tract 32, King County, Washington",Interbay,Seattle,2010,7178,3991,549100,0.21306485600000002,0.8634717190000001,57043,1651,0.586319218,961,892.0,0.48609371100000004,671.0,89,140,367,23,340,1548,293,58.0,2171,0.364322873,979,832,433,259,361,429,321,577,376,218,247,193,3991,5959,595,774,446,642,123,92,406,437,809,521,468,173,157,316,593028.0,9.0,41148.0,None,628.0,false,None
66,53033003300,"Census Tract 33, King County, Washington",Whittier Heights,Seattle,2015,6572,3166,452200,0.176250275,0.853773585,85595,110547,0.501263424,1311,1228.0,0.5502210989999999,24.6,123,104,243,10,287,979,294,67.5,2340,0.43534883700000004,875,714,118,166,306,187,240,591,391,280,284,313,3166,5375,520,962,542,393,199,176,28,452,788,539,356,142,152,126,488376.00000000006,-0.30000000000001137,73872.00000000012,NotEligibleForGentrification,407.0,false,NotCurrentlyGentrifying
67,53033003300,"Census Tract 33, King County, Washington",Whittier Heights,Seattle,2010,6080,3019,463200,0.210553678,0.8393092109999999,68272,1408,0.533620404,1051,921.0,0.551175886,668.0,74,147,250,0,394,813,322,55.2,1646,0.349246764,937,534,215,314,316,133,524,463,279,152,126,211,3019,4713,491,705,528,423,145,18,182,474,552,533,423,117,41,81,500256.00000000006,6.5,-83915.99999999994,None,457.0,false,None
68,53033003400,"Census Tract 34, King County, Washington",Whittier Heights,Seattle,2015,3587,1506,533300,0.124211548,0.856425983,97500,117208,0.355245684,1345,1169.0,0.352589641,33.8,28,30,49,12,191,84,198,76.9,1081,0.40807852,795,653,17,89,169,74,134,222,210,188,106,241,1506,2649,254,327,394,224,107,71,55,133,403,219,196,121,97,48,575964.0,3.799999999999997,-32616.00000000006,NotEligibleForGentrification,349.0,false,NotCurrentlyGentrifying
69,53033003400,"Census Tract 34, King County, Washington",Whittier Heights,Seattle,2010,3334,1469,539200,0.072829132,0.870125975,87554,768,0.47719537100000003,1133,1043.0,0.267528931,208.0,35,6,0,12,113,150,190,64.0,948,0.373375345,658,511,59,74,102,157,102,263,257,51,177,159,1469,2539,119,363,304,265,114,0,116,172,340,320,253,88,10,75,582336.0,-1.5999999999999943,43740.0,None,223.0,false,None
70,53033003500,"Census Tract 35, King County, Washington",Wallingford,Seattle,2015,3960,1841,571000,0.186749482,0.815909091,81563,125125,0.5127648020000001,1210,1122.0,0.446496469,25.5,90,29,192,0,58,582,210,69.1,965,0.326565144,677,625,86,107,150,151,135,203,248,94,219,243,1841,2955,225,324,297,283,236,71,213,131,377,263,236,119,74,106,616680.0,6.8999999999999915,78192.0,HaveGentrified,259.0,false,NotCurrentlyGentrifying
71,53033003500,"Census Tract 35, King County, Washington",Wallingford,Seattle,2010,3906,1882,598300,0.189752497,0.849718382,76641,828,0.560042508,992,957.0,0.459617428,298.0,61,21,151,81,90,451,147,67.4,1086,0.35088853,648,570,106,148,212,152,110,204,267,175,95,221,1882,3095,179,421,347,317,101,49,151,246,401,268,328,50,72,165,646164.0,-3.4000000000000057,16092.0,None,134.0,false,None
72,53033003600,"Census Tract 36, King County, Washington",Wallingford,Seattle,2015,6122,3210,581800,0.292700554,0.763966024,65172,119375,0.77165109,1256,1226.0,0.7302180690000001,38.9,185,289,428,131,95,1913,325,79.1,2335,0.496491601,552,481,324,345,178,229,315,318,309,194,260,310,3210,4703,540,624,305,149,207,92,296,781,796,394,109,134,90,186,628344.0,6.1000000000000085,-25812.0,NotEligibleForGentrification,370.0,false,NotCurrentlyGentrifying
73,53033003600,"Census Tract 36, King County, Washington",Wallingford,Seattle,2010,5198,3047,491300,0.19071518199999998,0.84705656,64199,998,0.672464719,995,938.0,0.645553003,903.0,67,120,377,16,174,1817,164,69.1,1770,0.420128175,519,410,180,300,291,211,357,381,265,77,237,289,3047,4213,471,440,385,258,102,21,420,452,485,432,287,198,110,152,530604.0,9.299999999999997,5940.0,None,379.0,false,None
74,53033003800,"Census Tract 38, King County, Washington",Ravenna,Seattle,2015,2165,856,543100,0.190172884,0.773210162,96310,126250,0.434579439,1326,1174.0,0.288551402,33.7,0,24,104,3,23,169,121,68.9,462,0.312584574,433,389,51,31,44,61,55,113,79,64,112,153,856,1478,72,110,133,184,44,95,86,112,132,166,169,56,37,82,586548.0,14.300000000000004,96012.00000000006,HaveGentrified,692.0,true,HaveGentrified
75,53033003800,"Census Tract 38, King County, Washington",Ravenna,Seattle,2010,1966,851,554500,0.118327402,0.825025432,79375,502,0.410105758,853,822.0,0.162162162,71.0,13,10,19,0,24,110,76,73.1,517,0.353383459,401,320,57,66,13,92,119,111,60,79,59,167,851,1463,54,117,264,139,77,17,105,53,171,183,146,63,22,52,598860.0,6.000000000000007,-43632.0,None,312.0,false,None
76,53033003900,"Census Tract 39, King County, Washington",Windermere,Seattle,2015,3080,1161,573700,0.075835476,0.8237012990000001,110458,133826,0.311800172,1545,1273.0,0.260981912,20.8,10,19,54,47,0,137,259,68.7,791,0.36842105299999994,761,689,55,54,93,75,48,146,133,128,84,274,1161,2147,137,191,193,228,122,81,139,131,242,199,213,85,47,139,619596.0,8.300000000000004,-31860.0,NotEligibleForGentrification,259.0,false,NotCurrentlyGentrifying
77,53033003900,"Census Tract 39, King County, Washington",Windermere,Seattle,2010,2852,1209,545300,0.078389831,0.757713885,71875,729,0.39702233299999995,961,857.0,0.270471464,150.0,33,50,54,28,27,161,147,66.3,567,0.301916933,687,637,144,41,87,57,123,168,42,134,120,124,1209,1878,38,210,152,207,115,54,167,86,179,192,281,19,40,138,588924.0,2.0999999999999943,88776.00000000006,None,342.0,true,None
78,53033004000,"Census Tract 40, King County, Washington",Sand Point,Seattle,2015,3125,1322,663500,0.160485934,0.73248,75714,148958,0.432677761,1108,1048.0,0.36384266299999996,20.1,85,0,51,89,7,695,197,78.2,785,0.359926639,690,536,44,68,94,56,109,116,85,75,134,263,1322,2181,190,275,207,205,82,73,100,121,190,301,165,87,85,100,716580.0,7.300000000000004,34128.0,HaveGentrified,313.0,false,NotCurrentlyGentrifying
79,53033004000,"Census Tract 40, King County, Washington",Sand Point,Seattle,2010,2903,1184,572900,0.217612809,0.688942473,85658,543,0.541385135,1075,1047.0,0.294763514,149.0,0,7,76,8,55,516,67,68.2,634,0.29406308,478,367,66,59,59,20,151,162,131,68,89,220,1184,2156,196,195,152,319,31,46,283,71,188,217,207,124,14,113,618732.0,1.3999999999999915,-43416.0,None,78.0,false,None
80,53033004100,"Census Tract 41, King County, Washington",Sand Point,Seattle,2015,7868,2900,932600,0.10327253199999999,0.8211743770000001,132917,165250,0.25517241399999996,1418,1307.0,0.337586207,26.1,49,31,165,77,230,427,640,81.1,2092,0.390808892,1955,1792,162,64,122,161,215,284,169,229,327,984,2900,5353,114,468,776,546,195,230,318,272,548,579,412,297,216,382,1007208.0000000001,-2.1000000000000085,-108540.00000000012,NotEligibleForGentrification,338.0,false,NotCurrentlyGentrifying
81,53033004100,"Census Tract 41, King County, Washington",Sand Point,Seattle,2010,7992,3296,925000,0.153590595,0.8335835840000001,110067,2068,0.37257281600000003,1239,1191.0,0.347694175,579.0,38,116,293,126,174,549,533,85.5,1951,0.38075722100000003,1945,1802,218,191,121,274,154,219,315,229,295,934,3296,5124,178,534,621,661,185,143,379,185,456,633,509,244,121,275,999000.0000000001,12.0,38988.0,None,333.0,false,None
82,53033004200,"Census Tract 42, King County, Washington",Windermere,Seattle,2015,8176,3225,623600,0.141392101,0.8113992170000001,110091,133750,0.368062016,1557,1431.0,0.248682171,33.0,29,82,268,0,97,439,427,80.4,2314,0.39745791799999997,1861,1599,59,102,154,184,222,409,449,208,472,709,3225,5822,299,645,575,685,167,246,404,401,701,554,477,238,172,258,673488.0,-2.0,-35100.00000000006,NotEligibleForGentrification,253.0,false,NotCurrentlyGentrifying
83,53033004200,"Census Tract 42, King County, Washington",Windermere,Seattle,2010,7887,3227,587900,0.178303655,0.821858755,99205,1801,0.44189649799999997,1220,1106.0,0.289742795,491.0,72,130,151,77,114,366,638,80.6,2414,0.43684401,1515,1348,213,162,276,237,254,322,389,296,402,523,3227,5526,305,621,497,656,164,161,456,300,680,602,659,109,67,249,634932.0,-7.399999999999999,-244943.99999999994,None,126.0,false,None
84,53033004301,"Census Tract 43.01, King County, Washington",Bryant,Seattle,2015,3548,1411,579400,0.222580645,0.697857948,64797,135714,0.506732814,1179,1122.0,0.455705174,50.5,94,68,188,22,5,531,119,77.2,778,0.346393589,651,563,185,71,94,123,115,150,117,59,73,265,1411,2246,296,247,271,102,127,62,187,68,268,221,121,112,81,83,625752.0,4.300000000000004,125495.99999999994,NotEligibleForGentrification,818.0,false,NotCurrentlyGentrifying
85,53033004301,"Census Tract 43.01, King County, Washington",Bryant,Seattle,2010,3845,1600,500000,0.16692268300000002,0.756827048,69815,629,0.606875,874,842.0,0.5275,253.0,52,118,251,33,19,716,128,75.2,623,0.278373548,596,542,137,101,110,36,107,189,178,65,124,221,1600,2238,157,171,288,288,58,67,197,162,312,170,207,54,0,107,540000.0,7.6000000000000085,229176.0,None,237.0,true,None
