tract_id,neighborhood,larger_neighborhood,num_college_2000,perc_college_2000,num_grad_deg_2000,perc_grad_deg_2000,perc_bachelor_deg_2010,num_bachelor_deg_2010,num_prof_deg_2010,perc_prof_deg_2010,num_college_masters_PhD_2010,perc_college_masters_PhD_2010,perc_bachelor_deg_2011,num_bachelor_deg_2011,num_prof_deg_2011,perc_prof_deg_2011,num_college_masters_PhD_2011,perc_college_masters_PhD_2011,perc_bachelor_deg_2012,num_bachelor_deg_2012,num_prof_deg_2012,perc_prof_deg_2012,num_college_masters_PhD_2012,perc_college_masters_PhD_2012,perc_bachelor_deg_2013,num_bachelor_deg_2013,num_prof_deg_2013,perc_prof_deg_2013,num_college_masters_PhD_2013,perc_college_masters_PhD_2013,perc_bachelor_deg_2014,num_bachelor_deg_2014,num_prof_deg_2014,perc_prof_deg_2014,num_college_masters_PhD_2014,perc_college_masters_PhD_2014,perc_bachelor_deg_2015,num_bachelor_deg_2015,num_prof_deg_2015,perc_prof_deg_2015,num_college_masters_PhD_2015,perc_college_masters_PhD_2015,perc_bachelor_deg_2016,num_bachelor_deg_2016,num_prof_deg_2016,perc_prof_deg_2016,num_college_masters_PhD_2016,perc_college_masters_PhD_2016,num_bachelor_deg_2017,perc_bachelor_deg_2017,"# Education Attainment,prof_deg_2017","% Education Attainment,prof_deg_2017",num_college_masters_PhD_2017,perc_college_masters_PhD_2017
530330008001,Matthews Beach,Lake City,233,28.6593,137,16.8512,29.4956,269,10,1.0965,351,38.4868,29.8077,279,10,1.0684,362,38.6752,21.1604,186,21,2.3891,297,33.7884,20.0908,177,29,3.2917,324,36.7764,18.6801,167,28,3.132,311,34.7875,19.2473,179,29,3.1183,330,35.4839,19.2391,177,28,3.0435,327,35.5435,186,19.5789,31,3.2632,343,36.1053
530330008002,Matthews Beach,Lake City,284,26.8178,200,18.8857,32.2736,335,31,2.9865,543,52.3121,32.6087,345,31,2.9301,558,52.741,35.7075,376,38,3.6087,632,60.019,39.5131,422,37,3.4644,711,66.573,33.1532,368,28,2.5225,670,60.3604,33.6007,377,27,2.4064,685,61.0517,33.8248,390,28,2.4284,707,61.3183,404,34.383,28,2.383,728,61.9574
530330009001,Matthews Beach,Lake City,306,36,292,34.3529,32.2014,275,26,3.0445,503,58.8993,32.4232,285,26,2.9579,520,59.1581,31.7821,280,39,4.4268,559,63.4506,31.5315,280,35,3.9414,591,66.5541,34.6112,316,29,3.1763,621,68.0175,35.512,326,29,3.159,632,68.8453,35.5011,333,28,2.9851,647,68.9765,338,35.5415,30,3.1546,658,69.1903
530330009002,OOO,Seattle,205,29.6671,270,39.0738,23.7705,174,31,4.235,491,67.0765,23.7903,177,31,4.1667,501,67.3387,29.303,206,30,4.2674,488,69.4168,25.5977,182,42,5.9072,494,69.4796,25.9669,188,56,7.7348,543,75,26.4201,200,56,7.3976,574,75.8256,26.5359,203,56,7.3203,582,76.0784,206,26.5806,59,7.6129,589,76
530330010001,Matthews Beach,Lake City,106,21.0317,116,23.0159,10.2178,61,50,8.3752,166,27.8057,10.2867,61,51,8.6003,167,28.1619,14.3101,84,42,7.155,239,40.7155,13.3224,81,37,6.0855,181,29.7697,15.8147,99,23,3.6741,250,39.9361,16.4297,104,22,3.4755,259,40.9163,16.4297,104,22,3.4755,257,40.6003,107,16.4869,24,3.698,266,40.9861
530330010002,Matthews Beach,Lake City,153,22.973,198,29.7297,31.4165,224,40,5.6101,503,70.547,31.5493,224,40,5.6338,502,70.7042,28.0537,209,36,4.8322,502,67.3826,31.6754,242,30,3.9267,457,59.8168,31.9231,249,42,5.3846,408,52.3077,32.3604,255,41,5.203,418,53.0457,32.795,264,41,5.0932,429,53.2919,272,33.0498,44,5.3463,442,53.706
530330011001,Maple Leaf,Northgate,243,28.2887,125,14.5518,34.6113,325,43,4.5793,563,59.9574,34.7734,330,45,4.7418,571,60.1686,41.7927,387,20,2.1598,580,62.635,41.3043,380,28,3.0435,566,61.5217,38.2227,357,27,2.8908,508,54.3897,39.0947,380,28,2.8807,536,55.144,39.4366,392,28,2.8169,551,55.4326,401,39.6637,29,2.8684,566,55.9842
530330011002,Maple Leaf,Northgate,295,34.2227,154,17.8654,22.0269,213,55,5.6877,421,43.5367,22.3007,221,56,5.6509,436,43.996,23.3202,236,65,6.4229,619,61.166,26.0447,268,63,6.1224,587,57.0457,26.0704,274,70,6.6603,588,55.9467,26.5655,280,70,6.6414,599,56.8311,26.7775,290,71,6.5559,618,57.0637,298,26.9439,74,6.6908,635,57.4141
530330012001,Maple Leaf,Northgate,292,32.1232,125,13.7514,46.5193,421,13,1.4365,586,64.7514,46.4912,424,13,1.4254,591,64.8026,44.9001,427,7,0.7361,628,66.0358,30.9845,299,48,4.9741,501,51.9171,28.1947,278,34,3.4483,474,48.073,29.0196,296,33,3.2353,499,48.9216,29.1985,306,33,3.1489,515,49.1412,317,29.6539,35,3.2741,531,49.6726
530330012002,Maple Leaf,Northgate,196,26.0292,201,26.6932,25.8687,201,14,1.8018,313,40.2831,25.9494,205,14,1.7722,320,40.5063,21.5938,168,0,0,363,46.6581,20.7711,167,0,0,431,53.607,15.4689,127,0,0,394,47.9903,15.7831,131,0,0,403,48.5542,16.0567,136,0,0,415,48.9965,139,16.0508,0,0,426,49.1917
530330012003,Maple Leaf,Northgate,230,23.6382,87,8.9414,33.5871,397,0,0,426,36.0406,33.6921,407,0,0,436,36.0927,20.1241,227,0,0,284,25.1773,23.4929,265,0,0,324,28.7234,29.6491,338,0,0,374,32.807,30.2676,362,0,0,399,33.3612,30.4026,370,0,0,409,33.6072,381,30.7506,0,0,421,33.979
530330012004,Maple Leaf,Northgate,147,18.4211,75,9.3985,26.9729,229,11,1.2956,287,33.8045,27.1889,236,11,1.2673,295,33.9862,30.0875,275,6,0.6565,352,38.512,29.0773,271,6,0.6438,347,37.2318,31.3869,301,0,0,389,40.5631,31.8693,312,0,0,403,41.1645,32.0619,311,0,0,401,41.3402,321,32.3263,0,0,414,41.6918
530330012005,Maple Leaf,Northgate,204,20.2985,131,13.0348,33.1579,378,0,0,456,40,33.4217,378,0,0,458,40.4951,33.1256,319,0,0,408,42.3676,26.0138,263,0,0,362,35.8061,30.2165,307,0,0,426,41.9291,30.9125,332,0,0,458,42.6443,30.9589,339,0,0,469,42.8311,349,31.3567,0,0,482,43.3064
530330013001,North College Park,Northgate,338,28.3557,149,12.5,28.1992,368,28,2.1456,544,41.6858,28.2975,369,29,2.2239,545,41.7945,22.4379,289,20,1.5528,533,41.382,28.2443,370,27,2.0611,652,49.771,27.3343,363,13,0.9789,606,45.6325,28.1546,386,13,0.9482,639,46.6083,28.3154,395,12,0.8602,654,46.8817,401,28.602,13,0.9272,662,47.2183
530330013002,North College Park,Northgate,182,20.4724,35,3.937,13.9752,135,41,4.2443,196,20.2899,14.0772,135,41,4.2753,196,20.438,10.099,102,31,3.0693,138,13.6634,11.412,118,11,1.0638,256,24.7582,13.0028,139,14,1.3096,366,34.2376,13.4615,147,14,1.2821,384,35.1648,13.4355,149,14,1.2624,390,35.1668,152,13.6079,16,1.4324,399,35.7207
530330013003,North College Park,Northgate,294,31.0782,75,7.9281,47.3588,520,0,0,623,56.7395,47.7171,533,0,0,638,57.1173,45.0509,487,0,0,565,52.2664,43.1034,475,0,0,568,51.5426,40.4545,445,0,0,579,52.6364,41.7029,480,0,0,621,53.9531,41.7384,485,0,0,628,54.0448,499,42.2523,0,0,646,54.6994
530330014001,Bitter Lake,Seattle,188,22.9548,115,14.0415,20,171,12,1.4035,256,29.9415,20.2115,172,12,1.4101,258,30.3173,25.6944,222,13,1.5046,313,36.2269,31.9318,281,13,1.4773,374,42.5,35.6813,309,0,0,392,45.2656,36.7728,335,0,0,421,46.213,36.7568,340,0,0,428,46.2703,350,37.234,0,0,439,46.7021
530330014002,Bitter Lake,Seattle,190,25.0329,93,12.253,28.271,242,1,0.1168,446,52.1028,28.5047,244,1,0.1168,448,52.3364,32.0513,275,0,0,538,62.704,37.9152,331,0,0,559,64.0321,35.8708,311,0,0,486,56.0554,36.7946,326,0,0,507,57.2235,36.7841,334,0,0,520,57.2687,350,37.037,0,0,544,57.5661
530330014003,Bitter Lake,Seattle,262,30.5361,69,8.042,25.2964,256,59,5.83,349,34.4862,25.5721,257,58,5.7711,350,34.8259,18.7812,188,18,1.7982,310,30.969,22.0157,225,17,1.6634,342,33.4638,24.9767,268,34,3.1687,361,33.644,25.8888,284,34,3.0994,383,34.9134,25.9659,289,34,3.0548,389,34.9506,293,26.1841,36,3.2172,396,35.3887
530330014004,Crown Hill,Seattle,211,22.3044,114,12.0507,33.502,331,16,1.6194,472,47.7733,33.6041,331,17,1.7259,472,47.9188,29.406,302,62,6.037,393,38.2668,25.8157,269,83,7.9655,423,40.595,29.2479,315,71,6.5924,497,46.1467,29.6571,320,71,6.5802,504,46.7099,29.991,332,72,6.5041,521,47.0641,337,30.3877,74,6.6727,528,47.6105
530330015001,Loyal Heights,Ballard,292,28.9395,202,20.0198,38.0849,350,59,6.42,494,53.7541,38.3938,349,58,6.3806,493,54.2354,41.0367,380,73,7.8834,551,59.5032,42.2996,401,73,7.7004,571,60.2321,46.1072,456,62,6.269,633,64.004,46.6934,466,62,6.2124,644,64.5291,46.9488,477,62,6.1024,659,64.8622,492,47.2169,66,6.334,679,65.1631
530330015002,Sunset Hill,Ballard,243,30.2239,170,21.1443,25.7053,246,47,4.9112,431,45.0366,25.8691,253,48,4.908,443,45.2965,33.3992,338,74,7.3123,553,54.6443,30.9901,313,101,10,555,54.9505,35.8696,363,64,6.3241,613,60.5731,36.2865,385,67,6.3148,649,61.1687,36.7498,398,66,6.0942,667,61.5882,405,37.054,69,6.3129,679,62.1226
