Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,"Housing, Median Value Owner Households",Percentage: Education Attainment Bachelors Degree,"Housing, Median Rent","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w 3-4 Units","Percentage: Housing, Occupied Structure w 5+ Units",Percentage: Households w 3 Vehicles,Percentage: Households w 4+ Vehicles,"Percentage: Families, Married w Children Under 18",Total Households,Year
530330031001,Loyal Heights,Ballard,BG0031001,1149,68134,446667,44.04,449,9.57,87.21,492,13.57,0,17.68,17.95,5.43,29.97,711,2010
530330031002,Sunset Hill,Ballard,BG0031002,1110,91021,471212,55.37,967,13.92,89.1,515,12.83,0,4.47,18.04,5.41,35.84,706,2010
530330031003,Loyal Heights,Ballard,BG0031003,1284,111638,495385,48.62,803,31.63,83.8,561,32.36,8.56,19.07,17.82,5.45,43.55,704,2010
530330031004,Sunset Hill,Ballard,BG0031004,1393,114195,490948,25.78,1154,12.92,88.73,582,11.21,0,0,18.08,5.43,43.18,704,2010
530330031005,Sunset Hill,Ballard,BG0031005,1283,89224,581301,31.48,908,15.87,88.23,576,3.41,0,2.43,17.95,5.57,37.16,701,2010
530330032001,Sunset Hill,Ballard,BG0032001,919,99275,398077,49.92,775,30.2,89.99,467,31.84,0,40.04,4.48,1.12,28.32,698,2010
530330032002,Adams,Ballard,BG0032002,1146,58884,404412,43.86,840,19.05,82.2,674,68.8,13.2,41.39,4.52,1.25,18.45,696,2010
530330032003,Interbay,Interbay,BG0032003,1102,62955,417204,48.92,824,32.53,84.94,710,64.23,21.13,57.89,4.47,1.34,33.33,694,2010
530330032004,Sunset Hill,Ballard,BG0032004,1114,50068,522917,34.05,778,22.17,87.16,750,75.46,9.87,63.47,4.77,1.12,16.81,693,2010
530330032005,Sunset Hill,Ballard,BG0032005,720,97222,572266,45.11,1231,12,88.19,326,37.1,0,19.63,4.52,1.29,35.86,691,2010
530330032006,Sunset Hill,Ballard,BG0032006,1567,59135,659962,33.18,1112,26.41,91.58,839,33.59,4.41,25.15,4.67,1.3,36.12,691,2010
530330032007,Sunset Hill,Ballard,BG0032007,1115,102331,513194,16.27,625,7.7,87.98,484,4.69,0,7.44,4.48,1.07,50.18,691,2010
530330033001,Whittier Heights,Ballard,BG0033001,1178,112632,468092,29.89,978,12.6,88.2,553,16.23,2.17,4.34,8.02,2.05,54.92,688,2010
530330033002,Whittier Heights,Ballard,BG0033002,1109,67817,452174,32.21,1119,16.36,82.96,542,50.1,10.15,11.62,7.8,1.95,26.2,688,2010
