Name, Population,Median Household Income,"Housing, Median Value Owner Households ($)","Percentage: Education Attainment, Bachelor's Degree]","Housing, Median Rent ($)","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w/ 3-4 Units","Percentage: Housing, Occupied Structure w/ 5+ Units",Percentage: Households w/ 3 Vehicles,Percentage: Households w/ 4+ Vehicles,"Percentage: Families, Married w/ Children Under 18, 2010"," Total Households, 2010",Year,,,," Total Households, 2011"," Total Households, 2012"," Total Households, 2013"," Total Households, 2014"," Total Households, 2015"," Total Households, 2016"," Total Households, 2020"
"BG0022003, King County, WA",1255,117188,622093,33.0169,1015,4.6512,78.247,553,13.41,0,1.085,15.3257,1.1494,34.5455,760,2010,,,,,,,,,,
"BG0022004, King County, WA",1130,122426,801768,38.5902,1109,10.3873,84.1593,521,13.7634,0,19.9616,15.4839,1.0753,38.0282,760,2010,,,,,,,,,,
"BG0024001, King County, WA",959,82843,526724,45.1169,1435,15.0735,86.3399,398,21.6146,0,0,6.7708,4.6875,37.6344,760,2010,,,,,,,,,,
"BG0024002, King County, WA",811,71272,476471,46.2366,896,24.0741,76.0789,396,61.1549,9.3434,48.7374,6.8242,4.7244,43.2161,757,2010,,,,,,,,,,
"BG0024003, King County, WA",1202,113949,457241,34.382,1642,15.7447,82.6123,500,12.3173,0,2.6,6.6806,4.8017,44.2857,756,2010,,,,,,,,,,
"BG0025001, King County, WA",1404,105435,468598,51.7703,1263,19.3711,79.1311,626,12.8763,0,0,15.0502,5.3512,40.5099,755,2010,,,,,,,,,,
"BG0025002, King County, WA",1398,101689,467925,39.0268,1264,29.7847,81.9743,674,41.2674,7.5668,9.3472,14.9923,5.255,44.2529,751,2010,,,,,,,,,,
"BG0026001, King County, WA",1054,84722,460305,45.3353,944,27.5613,81.6888,477,46.4602,0,22.6415,7.0797,2.2124,53.75,743,2010,,,,,,,,,,
"BG0026002, King County, WA",1294,132031,561484,47.7137,1188,26.7753,86.9397,538,17.2745,1.1152,0.9294,7.1017,2.1113,33.7875,742,2010,,,,,,,,,,
"BG0026003, King County, WA",1333,94037,485593,46.146,1139,15.2655,78.1695,625,32.5784,0.64,24.96,6.7944,1.9164,46.2121,742,2010,,,,,,,,,,
